sensor_id,hour,date,hourly_avg
0a,0,2019-11-16,7.77
0a,0,2019-11-17,6.275
0a,0,2019-11-18,6.14
0a,0,2019-11-19,6.83
0a,0,2019-11-20,4.47
0a,0,2019-11-21,5.095
0a,0,2019-11-22,6.045
0a,0,2019-11-23,5.35
0a,0,2019-11-24,7.335
0a,0,2019-11-25,7.695
0a,0,2019-11-26,6.215
0a,0,2019-11-27,5.925
0a,0,2019-11-28,7.195
0a,0,2019-11-29,7.69
0a,0,2019-11-30,6.04
0a,0,2019-12-01,4.7
0a,0,2019-12-02,5.845
0a,0,2019-12-03,5.345
0a,0,2019-12-04,6.97
0a,0,2019-12-05,6.405
0a,0,2019-12-06,5.705
0a,0,2019-12-07,8.925
0a,0,2019-12-08,6.11
0a,0,2019-12-09,7.45
0a,0,2019-12-10,11.895
0a,0,2019-12-11,7.484999999999999
0a,0,2019-12-12,5.735
0a,0,2019-12-13,6.09
0a,0,2019-12-14,7.775
0a,0,2019-12-15,5.935
0a,0,2019-12-16,8.73
0a,0,2019-12-17,9.57
0a,0,2019-12-18,6.58
0a,0,2019-12-19,7
0a,0,2019-12-20,6.88
0a,0,2019-12-21,16.18
0a,0,2019-12-22,7.01
0a,0,2019-12-23,11.205
0a,0,2019-12-24,9.085
0a,0,2019-12-25,7.65
0a,0,2019-12-26,49.714999999999996
0a,0,2019-12-27,7.66
0a,0,2019-12-28,18.685
0a,0,2019-12-29,10.18
0a,0,2019-12-30,10.275
0a,0,2019-12-31,15.49
0a,0,2020-01-01,23.325
0a,0,2020-01-02,6.02
0a,0,2020-01-03,6.21
0a,0,2020-01-04,165.43
0a,0,2020-01-05,7.715
0a,0,2020-01-06,6.665
0a,0,2020-01-07,87.61
0a,0,2020-01-08,20.465
0a,0,2020-01-09,8.855
0a,0,2020-01-10,73.02
0a,0,2020-01-11,5.855
0a,0,2020-01-12,5.615
0a,0,2020-01-13,5.61
0a,0,2020-01-14,872.33
0a,0,2020-01-15,149.825
0a,0,2020-01-16,208.735
0a,0,2020-01-17,6.065
0a,0,2020-01-18,6.225
0a,0,2020-01-19,22.535
0a,0,2020-01-20,14.7
0a,0,2020-01-21,10.235
0a,0,2020-01-22,5.995
0a,0,2020-01-23,6.055
0a,0,2020-01-24,5
0a,0,2020-01-25,8.64
0a,0,2020-01-26,5.92
0a,0,2020-01-27,6.015
0a,0,2020-01-28,5.955
0a,0,2020-01-29,7.31
0a,0,2020-01-30,18.05
0a,0,2020-01-31,11.59
0a,0,2020-02-01,8.266666666666666
0a,0,2020-02-02,4.54
0a,0,2020-02-03,6.14
0a,0,2020-02-04,5.53
0a,0,2020-02-05,5.275
0a,0,2020-02-06,4.795
0a,0,2020-02-07,57.85
0a,0,2020-02-08,56.725
0a,0,2020-02-09,7.025
0a,0,2020-02-10,6.205882352941177
0a,0,2020-02-11,8.31
0a,0,2020-02-12,7.275
0a,0,2020-02-13,7.08
0a,0,2020-02-14,5.345
0a,0,2020-02-15,14.695
0a,0,2020-02-16,8.695
0a,0,2020-02-17,5.65
0a,0,2020-02-18,7.625
0a,0,2020-02-19,5.3549999999999995
0a,0,2020-02-20,5.955
0a,0,2020-02-21,4.715
0a,0,2020-02-22,5.91
0a,0,2020-02-23,7.15
0a,0,2020-02-24,8.715
0a,0,2020-02-25,16.37
0a,0,2020-02-26,5.905
0a,0,2020-02-27,6.05
0a,0,2020-02-28,6.305
0a,0,2020-02-29,5.66
0a,0,2020-03-01,5.61
0a,0,2020-03-02,5.675
0a,0,2020-03-03,5.62
0a,0,2020-03-04,6.02
0a,0,2020-03-05,11.145
0a,0,2020-03-06,7.625
0a,0,2020-03-07,5.355
0a,0,2020-03-08,6.1
0a,0,2020-03-09,5.08
0a,0,2020-03-10,5.195
0a,0,2020-03-11,6.47
0a,0,2020-03-12,6.47
0a,0,2020-03-13,5.475
0a,0,2020-03-14,6.72
0a,0,2020-03-15,5.545
0a,0,2020-03-16,4.8950000000000005
0a,0,2020-03-17,7.055
0a,0,2020-03-18,5.005
0a,0,2020-03-19,5.83
0a,0,2020-03-20,5.71
0a,0,2020-03-21,5.675
0a,0,2020-03-22,8.175
0a,0,2020-03-23,5.5600000000000005
0a,0,2020-03-24,5.1
0a,0,2020-03-25,4.92
0a,0,2020-03-26,4.96
0a,0,2020-03-27,6.535
0a,0,2020-03-28,10.485
0a,0,2020-03-29,5.495
0a,0,2020-03-30,6.175
0a,0,2020-03-31,5.85
0a,0,2020-04-01,6.965
0a,0,2020-04-02,12.615
0a,0,2020-04-03,14.6
0a,0,2020-04-04,7.225
0a,0,2020-04-05,5.345
0a,0,2020-04-06,5.135
0a,0,2020-04-07,6.005
0a,0,2020-04-08,5.165
0a,0,2020-04-09,6.11
0a,0,2020-04-10,15.44
0a,0,2020-04-11,8.11
0a,0,2020-04-12,6.83
0a,0,2020-04-13,5.585
0a,0,2020-04-14,9.965
0a,0,2020-04-15,8.26
0a,0,2020-04-16,5.545
0a,0,2020-04-17,6.28
0a,0,2020-04-18,5.76
0a,0,2020-04-19,6.15
0a,0,2020-04-20,6.37
0a,0,2020-04-21,7.805
0a,0,2020-04-22,5.62
0a,0,2020-04-23,7.605
0a,0,2020-04-24,6.6899999999999995
0a,0,2020-04-25,6.9625
0a,0,2020-04-26,6.8875
0a,0,2020-04-27,6.5
0a,0,2020-04-28,7.475
0a,0,2020-04-29,8.30625
0a,0,2020-04-30,8.1125
0a,0,2020-05-01,4.6625
0a,0,2020-05-02,5.35
0a,0,2020-05-03,8.133333333333333
0a,0,2020-05-04,5.141666666666667
0a,0,2020-05-05,9.491666666666667
0a,0,2020-05-06,6.741666666666666
0a,0,2020-05-07,4.975
0a,0,2020-05-08,5.7
0a,0,2020-05-09,6.175
0a,0,2020-05-10,4.7250000000000005
0a,0,2020-05-11,5.5375
0a,0,2020-05-12,5.375
0a,0,2020-05-13,5.147058823529412
0a,0,2020-05-14,7.375
0a,0,2020-05-15,16.465
0a,0,2020-05-16,32.625
0a,0,2020-05-17,26.745
0a,0,2020-05-18,20.985
0a,0,2020-05-19,8.61
0a,0,2020-05-20,5.53
0a,0,2020-05-21,5.8
0a,0,2020-05-22,6.465
0a,0,2020-05-23,5.915
0a,0,2020-05-24,5.17
0a,0,2020-05-25,6.49
0a,0,2020-05-26,12.625
0a,0,2020-05-27,12.56
0a,0,2020-05-28,8.315
0a,0,2020-05-29,8.78
0a,0,2020-05-30,9.725
0a,0,2020-05-31,5.61
0a,0,2020-06-01,5.16
0a,0,2020-06-02,5.405882352941177
0a,0,2020-06-03,6.925
0a,0,2020-06-04,5.7894736842105265
0a,0,2020-06-05,18.330000000000002
0a,0,2020-06-06,20.50625
0a,0,2020-06-07,6.69375
0a,0,2020-06-08,9.2625
0a,0,2020-06-09,23.575
0a,0,2020-06-10,13.41875
0a,0,2020-06-11,13.63125
0a,0,2020-06-12,25.28125
0a,0,2020-06-13,14.20625
0a,0,2020-06-14,6.8
0a,0,2020-06-15,4.51875
0a,0,2020-06-16,5.5625
0a,0,2020-06-17,6.835
0a,0,2020-06-18,13.735
0a,0,2020-06-19,7.825
0a,0,2020-06-20,8.1
0a,0,2020-06-21,17.2
0a,0,2020-06-22,7.39
0a,0,2020-06-23,5.66
0a,0,2020-06-24,7.165
0a,0,2020-06-25,16.445
0a,0,2020-06-26,5.965
0a,0,2020-06-27,8.585
0a,0,2020-06-28,32.480000000000004
0a,0,2020-06-29,37.8
0a,0,2020-06-30,12.19
0a,0,2020-07-01,7.19
0a,0,2020-07-02,5.255
0a,0,2020-07-03,5.34
0a,0,2020-07-04,6.665
0a,0,2020-07-05,5.78
0a,0,2020-07-06,6.484999999999999
0a,0,2020-07-07,18.5
0a,0,2020-07-08,6.77
0a,0,2020-07-09,15.895
0a,0,2020-07-10,15.7
0a,0,2020-07-11,10.165
0a,0,2020-07-12,29.365
0a,0,2020-07-13,7.841176470588235
0a,0,2020-07-14,5.51
0a,0,2020-07-15,7.16
0a,0,2020-07-16,7.68
0a,0,2020-07-17,6.24
0a,0,2020-07-18,12.105
0a,0,2020-07-19,4.5588235294117645
0a,0,2020-07-20,5.3764705882352946
0a,0,2020-07-21,5.51
0a,0,2020-07-22,7.185
0a,0,2020-07-23,6.43
0a,0,2020-07-24,15.285
0a,0,2020-07-25,18.965
0a,0,2020-07-26,21.585
0a,0,2020-07-27,22.12
0a,0,2020-07-28,6.015
0a,0,2020-07-29,7.66
0a,0,2020-07-30,6.575
0a,0,2020-07-31,18.495
0a,0,2020-08-01,8.82
0a,0,2020-08-02,6.152941176470589
0a,0,2020-08-03,8.395
0a,0,2020-08-04,4.965
0a,0,2020-08-05,5.26
0a,0,2020-08-06,4.945
0a,0,2020-08-07,6.565
0a,0,2020-08-08,6.1
0a,0,2020-08-09,6.125
0a,0,2020-08-10,6.28
0a,0,2020-08-11,18.1
0a,0,2020-08-12,5.635294117647059
0a,0,2020-08-13,7.15
0a,0,2020-08-14,6.135
0a,0,2020-08-15,15.26
0a,0,2020-08-16,18.78
0a,0,2020-08-17,5.135
0a,0,2020-08-18,4.79
0a,0,2020-08-19,5.2
0a,0,2020-08-20,6.13
0a,0,2020-08-21,4.87
0a,0,2020-08-22,5.18
0a,0,2020-08-23,5.725
0a,0,2020-08-24,5.225
0a,0,2020-08-25,6.83
0a,1,2019-11-16,7.035
0a,1,2019-11-17,6.984999999999999
0a,1,2019-11-18,6.12
0a,1,2019-11-19,7.905
0a,1,2019-11-20,4.255
0a,1,2019-11-21,5.195
0a,1,2019-11-22,7.55
0a,1,2019-11-23,5.48
0a,1,2019-11-24,6.97
0a,1,2019-11-25,6.99
0a,1,2019-11-26,6.665
0a,1,2019-11-27,5.75
0a,1,2019-11-28,7.19
0a,1,2019-11-29,7.51
0a,1,2019-11-30,7.15
0a,1,2019-12-01,5.25
0a,1,2019-12-02,5.985
0a,1,2019-12-03,4.525
0a,1,2019-12-04,6.725
0a,1,2019-12-05,6.375
0a,1,2019-12-06,5.3
0a,1,2019-12-07,8.35
0a,1,2019-12-08,5.565
0a,1,2019-12-09,7.82
0a,1,2019-12-10,8.98
0a,1,2019-12-11,5.09
0a,1,2019-12-12,5.955
0a,1,2019-12-13,5.94
0a,1,2019-12-14,5.455
0a,1,2019-12-15,5.68
0a,1,2019-12-16,8.225
0a,1,2019-12-17,9.705
0a,1,2019-12-18,6.395
0a,1,2019-12-19,7.355
0a,1,2019-12-20,6.535
0a,1,2019-12-21,13.405
0a,1,2019-12-22,7.145
0a,1,2019-12-23,10.375
0a,1,2019-12-24,9.125
0a,1,2019-12-25,7.88
0a,1,2019-12-26,30.474999999999998
0a,1,2019-12-27,8.22
0a,1,2019-12-28,25.02
0a,1,2019-12-29,9.645
0a,1,2019-12-30,10.4
0a,1,2019-12-31,15.45
0a,1,2020-01-01,8.275
0a,1,2020-01-02,6.43
0a,1,2020-01-03,6.41
0a,1,2020-01-04,106.225
0a,1,2020-01-05,7.59
